columns_1,columns_2,columns_3,columns_4,columns_5,columns_6
训练集最优,训练集最优测试集结果,测试集最优,测试集最优大小,HV,time
1,0.653846153846154,0.884615384615385,5,0.895104674318964,1.889
1,0.92,1,3,0.999999751765007,1.6
1,0.875,0.916666666666667,5,0.9242421527354,1.693
1,0.88,0.96,4,0.963636096783746,1.804
1,0.791666666666667,0.958333333333333,7,0.962120895363017,1.561
1,0.961538461538462,1,5,0.999999737443757,1.551
1,0.833333333333333,1,6,0.999999734957429,1.58499999999999
1,0.91304347826087,0.956521739130435,3,0.960474072207331,1.617
1,0.740740740740741,0.851851851851852,5,0.865319612487928,1.605
1,0.884615384615385,0.961538461538462,3,0.965034732314659,1.689
1,0.958333333333333,1,7,0.999999689706258,1.848
1,0.884615384615385,0.961538461538462,7,0.965034583134975,1.788
1,0.869565217391304,0.956521739130435,3,0.960474085698363,1.863
1,0.961538461538462,1,6,0.999999725509382,2.5
1,0.96,0.96,5,0.96363611540137,2.326
1,0.807692307692308,0.961538461538462,4,0.965034708445909,2
1,0.875,1,6,0.999999728492976,1.783
1,0.961538461538462,1,6,0.99999973147657,1.697
1,0.851851851851852,0.962962962962963,7,0.966329615812962,1.671
1,0.869565217391304,1,7,0.999999689706258,1.81
1,0.923076923076923,1,5,0.999999689706258,1.744
1,0.807692307692308,1,6,0.999999683739071,1.859
1,0.962962962962963,1,6,0.99999971843716,1.756
1,0.739130434782609,0.956521739130435,6,0.960474018243202,1.803
1,0.884615384615385,0.923076923076923,4,0.930069697349624,1.719
1,0.884615384615385,0.961538461538462,6,0.965034702478722,1.761
1,0.88,0.96,5,0.963636109195495,1.721
1,0.666666666666667,0.925925925925926,8,0.932659651097093,1.766
1,0.958333333333333,1,7,0.999999767279694,1.844
1,0.958333333333333,1,6,0.999999650919541,1.682
训练集最优,训练集最优测试集结果,测试集最优,测试集最优大小,HV,time
1,0.870630372847764,0.967305070399273,5.43333333333333,0.970277060740271,1.7845
