

ORL
Fold	AccTrBest	AccTeBest	FeatBest	AccTrAvg	AccTeAvg	FeatAvg	Time
6		1.00		0.86		50.00		0.99		0.88		112.88
7		1.00		0.90		271.00		0.98		0.88		114.96
8		1.00		0.83		56.00		0.96		0.71		28.47
9		1.00		0.90		45.00		0.99		0.86		27.06
10		0.99		0.79		15.00		0.97		0.82		70.81
11		0.97		0.72		16.00		0.96		0.73		130.47
12		0.99		0.97		47.00		0.97		0.94		58.89
13		1.00		0.90		28.00		0.98		0.84		26.44
14		1.00		0.83		39.00		0.99		0.86		37.39
15		1.00		0.79		14.00		0.99		0.79		32.68
16		0.99		0.90		246.00		0.98		0.90		190.12
17		0.99		0.79		17.00		0.98		0.85		86.86
18		0.99		0.86		63.00		0.96		0.84		41.02
19		0.97		0.83		136.00		0.96		0.76		123.26
20		0.99		0.83		29.00		0.98		0.83		28.38
21		0.99		0.97		67.00		0.97		0.94		56.16
22		0.99		0.86		34.00		0.95		0.79		18.72
23		0.99		0.76		42.00		0.96		0.87		134.27
24		1.00		0.97		120.00		0.99		0.88		109.46
25		0.97		0.76		16.00		0.96		0.87		55.79
26		0.99		0.86		138.00		0.98		0.81		59.30
27		0.97		0.86		112.00		0.96		0.82		120.14
28		1.00		0.93		45.00		0.99		0.91		39.18
29		1.00		0.86		34.00		0.98		0.82		30.30
30		1.00		0.83		17.00		0.99		0.87		87.34
		0.99		0.85		64.70		0.97		0.84		67.24		15.66


GLIOMA
Fold	AccTrBest	AccTeBest	FeatBest	AccTrAvg	AccTeAvg	FeatAvg	Time
1		0.97		0.60		35.00		0.82		0.51		11.36
2		1.00		0.80		9.00		0.87		0.63		4.00
3		1.00		0.47		6.00		0.90		0.51		4.40
4		1.00		0.67		24.00		0.99		0.70		17.96
5		0.94		0.67		32.00		0.90		0.66		15.19
6		0.97		0.80		19.00		0.93		0.71		13.44
7		1.00		0.67		25.00		0.95		0.67		15.62
8		1.00		0.53		11.00		0.85		0.56		7.56
9		0.97		0.67		24.00		0.94		0.73		13.52
10		1.00		0.73		39.00		0.98		0.64		24.90
11		1.00		0.93		11.00		0.96		0.74		7.00
12		1.00		0.80		51.00		0.99		0.71		33.91
13		1.00		0.73		45.00		0.99		0.73		32.10
14		1.00		0.67		22.00		0.89		0.56		10.67
15		1.00		0.67		15.00		0.88		0.66		7.45
16		1.00		0.67		17.00		0.93		0.64		11.79
17		0.97		0.73		37.00		0.96		0.66		18.59
18		0.97		0.67		25.00		0.93		0.59		12.63
19		1.00		0.53		10.00		0.81		0.47		3.38
20		1.00		0.73		25.00		0.95		0.67		19.53
21		0.97		0.67		73.00		0.93		0.65		45.85
22		1.00		0.60		11.00		0.93		0.53		8.93
23		1.00		0.67		19.00		0.96		0.70		19.79
24		0.97		0.67		11.00		0.91		0.68		6.45
25		1.00		0.67		19.00		0.94		0.62		12.67
26		0.97		0.73		87.00		0.92		0.68		60.02
27		1.00		0.53		27.00		0.86		0.66		7.14
28		1.00		0.53		14.00		0.97		0.47		8.30
29		1.00		0.60		30.00		0.96		0.64		16.33
30		1.00		0.80		13.00		0.85		0.67		5.33
		0.99		0.67		26.20		0.92		0.63		15.86		9.75


Leukemia1
Fold	AccTrBest	AccTeBest	FeatBest	AccTrAvg	AccTeAvg	FeatAvg	Time
1		1.00		0.86		71.00		1.00		0.87		26.52
2		1.00		0.73		7.00		1.00		0.89		17.93
3		1.00		0.86		28.00		1.00		0.86		28.14
4		1.00		0.86		7.00		1.00		0.81		50.33
5		1.00		1.00		65.00		1.00		0.93		24.98
6		1.00		0.91		6.00		0.99		0.91		37.49
7		1.00		0.91		27.00		1.00		0.90		20.65
8		1.00		0.95		10.00		1.00		0.92		106.22
9		1.00		0.86		48.00		0.99		0.92		34.61
10		1.00		0.86		49.00		1.00		0.87		26.38
11		1.00		0.86		31.00		1.00		0.92		21.06
12		1.00		0.82		177.00		1.00		0.88		55.67
13		1.00		0.91		65.00		1.00		0.91		45.36
14		1.00		0.82		3.00		1.00		0.83		18.18
15		1.00		0.82		118.00		1.00		0.90		96.90
16		1.00		0.82		26.00		1.00		0.91		57.12
17		1.00		0.73		14.00		0.99		0.85		33.48
18		1.00		0.91		18.00		1.00		0.92		39.53
19		1.00		0.86		103.00		0.99		0.89		18.24
20		1.00		0.77		4.00		0.94		0.80		3.60
21		1.00		0.82		53.00		1.00		0.85		18.16
22		1.00		0.82		53.00		0.99		0.85		100.42
23		1.00		0.95		119.00		0.99		0.95		61.32
24		1.00		0.86		56.00		1.00		0.94		32.85
25		1.00		1.00		12.00		1.00		0.97		30.04
26		1.00		0.95		15.00		1.00		0.90		48.85
27		1.00		0.77		3.00		1.00		0.90		31.46
28		1.00		0.91		151.00		0.99		0.89		32.95
29		1.00		0.95		9.00		0.99		0.96		68.81
30		1.00		0.91		94.00		1.00		0.90		41.53
		1.00		0.87		48.07		0.99		0.89		40.96		16.55


DLBCL
Fold	AccTrBest	AccTeBest	FeatBest	AccTrAvg	AccTeAvg	FeatAvg	Time
1		1.00		0.92		34.00		1.00		0.86		27.08
2		1.00		0.88		4.00		1.00		0.91		19.63
3		1.00		0.96		7.00		1.00		0.94		16.88
4		1.00		0.88		5.00		1.00		0.92		15.33
5		1.00		0.92		27.00		1.00		0.81		19.46
6		1.00		0.79		5.00		1.00		0.87		12.24
7		1.00		0.67		5.00		1.00		0.68		16.89
8		1.00		0.88		3.00		1.00		0.84		13.91
9		1.00		0.92		26.00		1.00		0.89		15.99
10		1.00		0.96		18.00		1.00		0.88		22.72
11		1.00		0.79		2.00		1.00		0.77		16.94
12		1.00		0.92		15.00		1.00		0.85		15.70
13		1.00		0.96		21.00		1.00		0.90		11.74
14		1.00		0.88		9.00		1.00		0.88		16.06
15		1.00		0.92		4.00		1.00		0.96		16.55
16		1.00		0.92		12.00		1.00		0.91		16.38
17		1.00		0.92		18.00		1.00		0.93		14.66
18		1.00		0.79		3.00		1.00		0.88		23.38
19		1.00		0.83		19.00		1.00		0.88		19.23
20		1.00		0.92		15.00		0.99		0.88		14.98
21		1.00		0.83		2.00		1.00		0.86		21.71
22		1.00		0.79		16.00		1.00		0.79		13.76
23		1.00		0.92		9.00		1.00		0.93		20.36
24		1.00		0.92		12.00		1.00		0.88		14.98
25		1.00		0.83		123.00		1.00		0.88		32.13
26		1.00		0.92		14.00		1.00		0.95		14.27
27		1.00		0.83		4.00		1.00		0.89		13.28
28		1.00		0.92		18.00		1.00		0.95		18.65
29		1.00		0.92		4.00		1.00		0.93		17.87
30		1.00		0.96		31.00		1.00		0.83		19.58
		1.00		0.88		16.17		1.00		0.88		17.74		20.09


9Tumor
Fold	AccTrBest	AccTeBest	FeatBest	AccTrAvg	AccTeAvg	FeatAvg	Time
1		0.81		0.44		96.00		0.66		0.26		22.14
2		0.71		0.44		19.00		0.50		0.26		6.89
3		0.74		0.33		43.00		0.57		0.27		15.00
4		0.76		0.39		262.00		0.59		0.22		39.73
5		0.76		0.39		173.00		0.66		0.36		93.39
6		0.90		0.22		38.00		0.66		0.13		11.65
7		0.79		0.33		66.00		0.69		0.26		31.08
8		0.71		0.17		34.00		0.54		0.17		9.75
9		0.86		0.44		24.00		0.68		0.25		11.11
